Metabolite,Status,Reactions_Found
CHEBI:4828,Unmapped,0
CHEBI:75117,Unmapped,0
CHEBI:15843,Unmapped,0
CHEBI:73025,Unmapped,0
CHEBI:70719,Unmapped,0
CHEBI:73002,Mapped,15
CHEBI:17786,Unmapped,0
CHEBI:86507,Unmapped,0
CHEBI:78647,Mapped,1
CHEBI:37374,Unmapped,0
CHEBI:28792,Unmapped,0
CHEBI:73850,Mapped,3
CHEBI:73000,Mapped,5
CHEBI:133086,Unmapped,0
CHEBI:84532,Unmapped,0
CHEBI:16828,Unmapped,0
CHEBI:78646,Mapped,2
CHEBI:50129,Unmapped,0
CHEBI:82952,Unmapped,0
CHEBI:73004,Mapped,21
CHEBI:36210,Unmapped,0
CHEBI:15756,Unmapped,0
CHEBI:90483,Unmapped,0
CHEBI:83359,Unmapped,0
CHEBI:133217,Unmapped,0
CHEBI:78268,Mapped,5
CHEBI:133599,Unmapped,0
CHEBI:75036,Mapped,4
CHEBI:64390,Unmapped,0
CHEBI:83880,Unmapped,0
CHEBI:73845,Unmapped,0
CHEBI:53487,Unmapped,0
CHEBI:39540,Unmapped,0
CHEBI:35045,Unmapped,0
CHEBI:146206,Unmapped,0
CHEBI:133101,Unmapped,0
CHEBI:83040,Unmapped,0
CHEBI:73731,Unmapped,0
CHEBI:73076,Unmapped,0
CHEBI:84098,Unmapped,0
CHEBI:16530,Unmapped,0
CHEBI:74963,Mapped,7
CHEBI:84647,Mapped,1
CHEBI:89203,Unmapped,0
CHEBI:83360,Mapped,1
CHEBI:47276,Unmapped,0
CHEBI:28716,Unmapped,0
CHEBI:21563,Unmapped,0
CHEBI:74000,Mapped,3
CHEBI:73209,Unmapped,0
CHEBI:64395,Unmapped,0
CHEBI:73066,Unmapped,0
CHEBI:83051,Unmapped,0
CHEBI:133183,Unmapped,0
CHEBI:75145,Unmapped,0
CHEBI:75108,Unmapped,0
CHEBI:42027,Mapped,7
CHEBI:70979,Unmapped,0
CHEBI:27747,Unmapped,0
CHEBI:65136,Unmapped,0
CHEBI:28875,Unmapped,0
CHEBI:45826,Unmapped,0
CHEBI:82753,Unmapped,0
CHEBI:10362,Mapped,4
CHEBI:73858,Mapped,26
CHEBI:84557,Unmapped,0
CHEBI:133124,Unmapped,0
CHEBI:78340,Mapped,3
CHEBI:77807,Unmapped,0
CHEBI:37084,Unmapped,0
CHEBI:85520,Unmapped,0
CHEBI:60645,Unmapped,0
CHEBI:53488,Unmapped,0
CHEBI:32365,Unmapped,0
CHEBI:72999,Mapped,23
CHEBI:37371,Unmapped,0
CHEBI:17533,Unmapped,0
CHEBI:17521,Unmapped,0
CHEBI:17626,Unmapped,0
CHEBI:133119,Unmapped,0
CHEBI:16893,Unmapped,0
CHEBI:37550,Unmapped,0
CHEBI:89482,Unmapped,0
CHEBI:64486,Unmapped,0
CHEBI:133136,Unmapped,0
CHEBI:53486,Unmapped,0
CHEBI:28832,Unmapped,0
CHEBI:28747,Unmapped,0
CHEBI:41139,Unmapped,0
CHEBI:84100,Unmapped,0
CHEBI:84153,Unmapped,0
CHEBI:70997,Unmapped,0
CHEBI:27781,Unmapped,0
CHEBI:32425,Unmapped,0
CHEBI:28364,Unmapped,0
CHEBI:42504,Unmapped,0
CHEBI:16552,Unmapped,0
CHEBI:21565,Unmapped,0
CHEBI:28842,Unmapped,0
CHEBI:86595,Unmapped,0
CHEBI:89836,Unmapped,0
CHEBI:17509,Mapped,35
CHEBI:89733,Unmapped,0
CHEBI:84562,Unmapped,0
CHEBI:84822,Mapped,5
CHEBI:32389,Unmapped,0
CHEBI:28821,Mapped,1
CHEBI:17553,Unmapped,0
CHEBI:79096,Unmapped,0
CHEBI:37373,Unmapped,0
CHEBI:48430,Unmapped,0
CHEBI:83037,Unmapped,0
CHEBI:16437,Unmapped,0
CHEBI:82914,Unmapped,0
CHEBI:74533,Unmapped,0
CHEBI:133077,Unmapped,0
CHEBI:89312,Unmapped,0
CHEBI:78342,Mapped,2
CHEBI:133185,Unmapped,0
CHEBI:85525,Unmapped,0
CHEBI:70811,Unmapped,0
CHEBI:17864,Unmapped,0
CHEBI:16411,Unmapped,0
CHEBI:84487,Unmapped,0
CHEBI:28733,Mapped,7
CHEBI:39246,Unmapped,0
CHEBI:16857,Unmapped,0
CHEBI:133672,Unmapped,0
CHEBI:84829,Mapped,1
CHEBI:16543,Unmapped,0
CHEBI:28661,Unmapped,0
CHEBI:84846,Unmapped,0
CHEBI:30776,Unmapped,0
CHEBI:10072,Unmapped,0
CHEBI:68444,Unmapped,0
CHEBI:89013,Unmapped,0
CHEBI:84527,Unmapped,0
CHEBI:25858,Mapped,3
CHEBI:86147,Unmapped,0
CHEBI:75094,Unmapped,0
CHEBI:84834,Mapped,2
CHEBI:21553,Unmapped,0
CHEBI:17490,Mapped,2
CHEBI:72961,Mapped,7
CHEBI:136638,Unmapped,0
CHEBI:32380,Unmapped,0
CHEBI:71466,Mapped,7
CHEBI:28946,Mapped,7
CHEBI:84563,Unmapped,0
CHEBI:84644,Mapped,1
CHEBI:37451,Unmapped,0
CHEBI:2198,Unmapped,0
CHEBI:28125,Unmapped,0
CHEBI:28729,Mapped,2
CHEBI:16814,Unmapped,0
CHEBI:30831,Unmapped,0
CHEBI:57589,Mapped,4
CHEBI:70808,Unmapped,0
CHEBI:16244,Mapped,7
CHEBI:84533,Unmapped,0
CHEBI:17489,Unmapped,0
CHEBI:53210,Mapped,5
CHEBI:145234,Unmapped,0
CHEBI:75038,Mapped,3
CHEBI:18050,Unmapped,0
CHEBI:133456,Mapped,1
CHEBI:18344,Unmapped,0
CHEBI:89884,Unmapped,0
CHEBI:133694,Unmapped,0
CHEBI:83358,Mapped,1
CHEBI:133430,Unmapped,0
CHEBI:73851,Mapped,3
CHEBI:82969,Unmapped,0
CHEBI:68434,Unmapped,0
CHEBI:17115,Unmapped,0
CHEBI:86102,Mapped,1
CHEBI:74971,Mapped,14
CHEBI:40410,Unmapped,0
CHEBI:16259,Unmapped,0
CHEBI:133508,Unmapped,0
CHEBI:88773,Unmapped,0
CHEBI:73001,Mapped,11
CHEBI:75062,Mapped,1
CHEBI:384794,Unmapped,0
CHEBI:74975,Mapped,1
CHEBI:4047,Unmapped,0
CHEBI:21363,Unmapped,0
CHEBI:205734,Unmapped,0
CHEBI:17687,Unmapped,0
CHEBI:45744,Unmapped,0
CHEBI:17802,Mapped,2
CHEBI:89860,Unmapped,0
CHEBI:15781,Mapped,6
CHEBI:18123,Mapped,3
CHEBI:75034,Mapped,7
CHEBI:17066,Unmapped,0
CHEBI:76308,Unmapped,0
CHEBI:64032,Mapped,1
CHEBI:16467,Unmapped,0
CHEBI:18332,Unmapped,0
CHEBI:78266,Mapped,1
CHEBI:16675,Unmapped,0
CHEBI:73100,Unmapped,0
CHEBI:89483,Unmapped,0
CHEBI:40836,Unmapped,0
CHEBI:16737,Mapped,4
CHEBI:87986,Unmapped,0
CHEBI:545687,Unmapped,0
CHEBI:28717,Mapped,1
CHEBI:166485,Unmapped,0
CHEBI:2323,Unmapped,0
CHEBI:37100,Unmapped,0
CHEBI:133747,Unmapped,0
CHEBI:83058,Unmapped,0
CHEBI:28727,Unmapped,0
CHEBI:34071,Mapped,3
CHEBI:166730,Unmapped,0
CHEBI:41254,Unmapped,0
CHEBI:76276,Mapped,3
CHEBI:17336,Mapped,23
CHEBI:31697,Mapped,2
CHEBI:40521,Unmapped,0
CHEBI:89901,Unmapped,0
CHEBI:37049,Unmapped,0
CHEBI:19232,Unmapped,0
CHEBI:1127735,Unmapped,0
CHEBI:27732,Mapped,6
CHEBI:545959,Unmapped,0
CHEBI:72998,Mapped,77
CHEBI:17604,Unmapped,0
CHEBI:18102,Mapped,2
CHEBI:75450,Mapped,1
CHEBI:89963,Unmapped,0
CHEBI:165601,Unmapped,0
CHEBI:84814,Unmapped,0
CHEBI:23774,Unmapped,0
CHEBI:28116,Unmapped,0
CHEBI:16113,Mapped,65
CHEBI:15354,Mapped,56
CHEBI:17261,Unmapped,0
CHEBI:7274,Unmapped,0
CHEBI:74344,Mapped,6
CHEBI:86260,Unmapped,0
CHEBI:17754,Mapped,76
CHEBI:68433,Unmapped,0
CHEBI:30813,Unmapped,0
CHEBI:40356,Mapped,5
CHEBI:72959,Mapped,9
CHEBI:78261,Mapped,2
CHEBI:73722,Unmapped,0
CHEBI:73212,Unmapped,0
CHEBI:15428,Unmapped,0
CHEBI:30805,Unmapped,0
CHEBI:37946,Unmapped,0
CHEBI:68465,Unmapped,0
CHEBI:133693,Unmapped,0
CHEBI:74965,Mapped,9
CHEBI:16919,Unmapped,0
CHEBI:73003,Mapped,9
CHEBI:16344,Unmapped,0
CHEBI:16393,Unmapped,0
CHEBI:133181,Unmapped,0
CHEBI:17196,Unmapped,0
CHEBI:166739,Unmapped,0
CHEBI:17482,Unmapped,0
CHEBI:4676,Unmapped,0
CHEBI:73118,Unmapped,0
CHEBI:17645,Unmapped,0
CHEBI:133096,Unmapped,0
CHEBI:176485,Unmapped,0
CHEBI:62207,Unmapped,0
CHEBI:21949,Mapped,4
CHEBI:74532,Unmapped,0
CHEBI:67033,Mapped,2
CHEBI:17752,Unmapped,0
CHEBI:28664,Unmapped,0
CHEBI:68447,Unmapped,0
CHEBI:30745,Unmapped,0
CHEBI:172425,Unmapped,0
CHEBI:18183,Unmapped,0
CHEBI:87998,Unmapped,0
CHEBI:43580,Unmapped,0
CHEBI:48991,Mapped,8
